titulo,link,fonte,data_publicacao,regiao,metodo_coleta
DJ Jopin e três parentes dele são condenados por lavagem de dinheiro seis anos após serem presos em operação,https://g1.globo.com/pe/pernambuco/noticia/2025/08/07/justica-condena-dj-jopin-e-tres-parentes-dele.ghtml,G1 Pernambuco,2025-08-08 16:19:06,Pernambuco,scraping_hiperlocal
Estado anuncia Concurso Unificado com 455 vagas em nove órgãos; veja cargos e cidades onde haverá provas,https://g1.globo.com/pe/pernambuco/noticia/2025/08/07/pe-anuncia-concurso-unificado.ghtml,G1 Pernambuco,2025-08-08 16:19:06,Pernambuco,scraping_hiperlocal
Pais de Amanda Wanessa já brigaram com marido da cantora na Justiça pelo direito de visitar filha; entenda impasse,https://g1.globo.com/pe/pernambuco/noticia/2025/08/07/pais-de-amanda-wanessa-ja-brigaram-com-marido-da-cantora-na-justica-pelo-direito-de-visitar-filha-entenda-impasse.ghtml,G1 Pernambuco,2025-08-08 16:19:06,Pernambuco,scraping_hiperlocal
Não sabe onde vai aproveitar o fim de semana? Confira as opções de diversão da agenda cultural,https://g1.globo.com/pe/pernambuco/o-que-fazer-no-recife/noticia/2025/08/05/agenda-cultural-no-grande-recife.ghtml,G1 Pernambuco,2025-08-08 16:19:06,Pernambuco,scraping_hiperlocal
VÍDEOS: tudo sobre Pernambuco,https://g1.globo.com/pe/pernambuco/playlist/videos-tudo-sobre-pernambuco.ghtml,G1 Pernambuco,2025-08-08 16:19:06,Pernambuco,scraping_hiperlocal
MPF denuncia ex-secretário de Saúde do Recife e mais 7 por supostas fraudes em contratos milionários na pandemia,https://g1.globo.com/pe/pernambuco/noticia/2025/08/08/mpf-denuncia-oito-pessoas-por-supostas-fraudes-em-contratos-milionarios-na-pandemia.ghtml,G1 Pernambuco,2025-08-08 16:19:06,Pernambuco,scraping_hiperlocal
"VÍDEOS: Bom Dia PE de sexta-feira, 8 de agosto de 2025",https://g1.globo.com/pe/pernambuco/videos-bom-dia-pe/playlist/videos-bom-dia-pe-de-sexta-feira-8-de-agosto-de-2025.ghtml,G1 Pernambuco,2025-08-08 16:19:06,Pernambuco,scraping_hiperlocal
Chacina em comunidade de Olinda deixa quatro mortos; suspeito é preso,https://g1.globo.com/se/sergipe/noticia/noticia/2025/08/08/chacina-em-comunidade-de-olinda-deixa-mortos-suspeito-e-preso.ghtml,G1 Pernambuco,2025-08-08 16:19:06,Pernambuco,scraping_hiperlocal
Dia dos Pais: veja orientações do Procon Caruaru para compras de presentes,https://g1.globo.com/pe/caruaru-regiao/noticia/2025/08/08/dia-dos-pais-veja-orientacoes-do-procon-caruaru-para-compras-de-presentes.ghtml,G1 Caruaru,2025-08-08 16:19:11,Agreste,scraping_hiperlocal
Edson Gomes é confirmado no Motofest de Caruaru 2025,https://g1.globo.com/pe/caruaru-regiao/noticia/2025/08/08/edson-gomes-e-confirmado-no-motofest-de-caruaru-2025.ghtml,G1 Caruaru,2025-08-08 16:19:11,Agreste,scraping_hiperlocal
"Marcelo Falcão, BaianaSystem e Teatro Mágico animam o fim de semana do interior de PE; confira a Agenda Cultural do g1",https://g1.globo.com/pe/caruaru-regiao/noticia/2025/08/06/festival-pernambuco-meu-pais-movimenta-serra-negra-e-taquaritinga-do-norte-neste-fim-de-semana-veja-a-programacao.ghtml,G1 Caruaru,2025-08-08 16:19:11,Agreste,scraping_hiperlocal
Justiça manda Pernambuco indenizar mãe após PM expor cadáver nu de jovem em ação policial com oito mortos,https://g1.globo.com/pe/pernambuco/noticia/2025/08/07/justica-manda-pernambuco-indenizar-mae-apos-pm-expor-cadaver-nu-de-jovem-em-acao-policial-com-oito-mortos.ghtml,G1 Caruaru,2025-08-08 16:19:11,Agreste,scraping_hiperlocal
"Moradores afetados por rompimento de cano no São João da Escócia serão indenizados com auxílio, diz Compesa",https://g1.globo.com/pe/caruaru-regiao/noticia/2025/08/08/moradores-afetados-por-rompimento-de-cano-serao-indenizados-com-auxilio-diz-compesa.ghtml,G1 Caruaru,2025-08-08 16:19:11,Agreste,scraping_hiperlocal
VÍDEO: casas são danificadas após vazamento de tubulação,https://g1.globo.com/pe/caruaru-regiao/noticia/2025/08/08/video-casas-sao-danificadas-apos-vazamento-de-tubulacao.ghtml,G1 Caruaru,2025-08-08 16:19:11,Agreste,scraping_hiperlocal
