titulo,descricao,fonte,data_publicacao,regiao,query_busca
Lula‑colossal aparece em vídeo inédito durante expedição no oceano,"Maior espécie invertebrada do mundo, lula‑colossal pode ter sido registrada pela 1ª vez em vídeo em seu habitat na Antártida; veja
The post Lula‑colossal aparece em vídeo inédito durante expedição no oceano appeared first on Giz Brasil.",Uol.com.br,2025-07-01T14:20:40Z,Pernambuco,"""Lula"" AND Brasil"
Lula vai taxar Big Techs no Brasil,"“Eu queria dizer para vocês que a gente vai julgar e vai cobrar imposto das empresas americanas digitais”, disse Lula durante o Congresso da União Nacional dos Estudantes (UNE), nesta quinta-feira (17).",Tecmundo.com.br,2025-07-18T00:13:44Z,Pernambuco,"""Lula"" AND Brasil"
EUA x Brasil: Lula afirma que vai taxar big techs,"""Esse país só é soberano porque o povo brasileiro tem orgulho desse país. E eu queria dizer que a gente vai julgar e vai cobrar imposto das empresas americanas digitais"", afirmou Lula
O post EUA x Brasil: Lula afirma que vai taxar big techs apareceu primeiro …",Olhardigital.com.br,2025-07-17T21:37:47Z,Pernambuco,"""Lula"" AND Brasil"
EUA têm interesse em minerais críticos do Brasil; Lula responde,"Tema foi citado pelo encarregado de negócios da embaixada dos Estados Unidos no Brasil em reunião com representantes do setor privado
O post EUA têm interesse em minerais críticos do Brasil; Lula responde apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-25T05:17:21Z,Pernambuco,"""Lula"" AND Brasil"
Lula vai se inspirar na Índia para defender Brasil das big techs,"Lula se encontrou com o primeiro-ministro da Índia e defendeu medidas para diminuir concentração de poder de empresas privadas
O post Lula vai se inspirar na Índia para defender Brasil das big techs apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-09T21:43:05Z,Pernambuco,"""Lula"" AND Brasil"
Lei define fibromialgia como deficiência em todo país a partir de 2026,"Síndrome crônica provoca dores, fadiga, ansiedade e depressão
The post Lei define fibromialgia como deficiência em todo país a partir de 2026 appeared first on Giz Brasil.",Uol.com.br,2025-07-26T14:25:37Z,Pernambuco,"""Lula"" AND Brasil"
Brics: Lula defende regras compartilhadas para inteligência artificial,"Lula discursou na abertura do Fórum Empresarial do Brics. Um dos temas de destaque foi a inteligência artificial 
O post Brics: Lula defende regras compartilhadas para inteligência artificial apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-05T16:00:28Z,Pernambuco,"""Lula"" AND Brasil"
Olhar do Amanhã: como as tarifas de Trump impactam o Brasil,"Como essa decisão pode afetar o mercado da tecnologia aqui no Brasil? O consumidor brasileiro pode esperar algum impacto imediato?
O post Olhar do Amanhã: como as tarifas de Trump impactam o Brasil apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-10T00:24:41Z,Pernambuco,"""Lula"" AND Brasil"
Brasil x EUA: governo cogitou usar taxação das big techs como moeda de troca no tarifaço,"Trump anunciou tarifas americanas de 50% ao Brasil. Em resposta, Lula afirmou que vai taxar as big techs. Como anda essa negociação?
O post Brasil x EUA: governo cogitou usar taxação das big techs como moeda de troca no tarifaço apareceu primeiro em Olhar Dig…",Olhardigital.com.br,2025-07-25T20:34:35Z,Pernambuco,"""Lula"" AND Brasil"
EUA: Trump avisa Lula que vai investigar ações do Brasil contra big techs,"Declaração foi dada em carta enviada ao presidente brasileiro; líder estadunidense também ameaçou com outras sanções
O post EUA: Trump avisa Lula que vai investigar ações do Brasil contra big techs apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-09T22:21:45Z,Pernambuco,"""Lula"" AND Brasil"
"Em discurso, Lula cita big techs, Pix, meio ambiente e mais","Temas citados são alvo de críticas — e investigação — do governo dos EUA
O post Em discurso, Lula cita big techs, Pix, meio ambiente e mais apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-18T00:28:04Z,Pernambuco,"""Lula"" AND Brasil"
"Em evento, Lula defende regulamentação das plataformas digitais e combate à desinformação","Presidente defendeu regulamentação para ""devolver aos Estados a capacidade de proteger cidadãos""
O post Em evento, Lula defende regulamentação das plataformas digitais e combate à desinformação apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-21T19:33:16Z,Pernambuco,"""Lula"" AND Brasil"
Trump quer mudar a receita da Coca-Cola; veja o que disse a empresa,"A Coca-Cola não confirmou a declaração e o tarifaço pode atrapalhar os planos de Trump. 
The post Trump quer mudar a receita da Coca-Cola; veja o que disse a empresa appeared first on Giz Brasil.",Uol.com.br,2025-07-18T18:24:54Z,Pernambuco,"""Lula"" AND Brasil"
